SiteID,Begin_Date,Weekday,Begin_hour,CPA,CPA_M,TA,TA_M,TB,Low_baleen,Humpback,Mid_baleen,Dolphin,Fish_chorus,SnappingShrimp,Notes
MRE,2/24/2020,Monday,4,,,,,,0,0,0,0,0,0,
MRE,2/24/2020,Monday,5,,,,,,0,0,0,0,0,0,
MRE,2/24/2020,Monday,6,,,,,,0,0,0,0,0,0,
MRE,2/24/2020,Monday,7,,,,,,0,0,0,0,0,0,
MRE,2/24/2020,Monday,8,,,,,,0,0,0,0,0,0,
MRE,2/24/2020,Monday,9,,,,,,0,0,0,0,0,0,
MRE,2/24/2020,Monday,10,,,,,,0,0,0,0,0,0,
MRE,2/24/2020,Monday,11,,,,,,0,0,0,0,0,0,
MRE,2/24/2020,Monday,12,,,,,,0,0,0,0,0,0,
MRE,2/24/2020,Monday,13,,,,,,0,0,0,0,0,0,
MRE,2/24/2020,Monday,14,,,,,,0,0,0,0,0,0,
MRE,2/24/2020,Monday,15,,,,,,0,0,0,0,0,0,
MRE,2/24/2020,Monday,16,,,,,,0,0,0,0,0,0,
MRE,2/24/2020,Monday,17,,,,,,0,0,0,0,0,0,
MRE,2/24/2020,Monday,18,,,,,,0,0,0,0,0,0,
MRE,2/24/2020,Monday,19,,,,,,0,0,0,0,0,0,
MRE,2/24/2020,Monday,20,,,,,,0,0,0,0,0,0,
MRE,2/24/2020,Monday,21,,,,,,0,0,0,0,0,0,
MRE,2/24/2020,Monday,22,,,,,,0,0,0,0,0,0,
MRE,2/24/2020,Monday,23,,,,,,0,0,0,0,0,0,
MRE,2/25/2020,Tuesday,0,,,,,,0,0,0,0,0,0,
MRE,2/25/2020,Tuesday,1,,,,,,0,0,0,0,0,0,
MRE,2/25/2020,Tuesday,2,,,,,,0,0,0,0,0,0,
MRE,2/25/2020,Tuesday,3,,,,,,0,0,0,0,0,0,
MRE,2/25/2020,Tuesday,4,,,,,,0,0,0,0,0,0,
MRE,2/25/2020,Tuesday,5,,,,,,0,0,0,0,0,0,
MRE,2/25/2020,Tuesday,6,,,,,,0,0,0,0,0,0,
MRE,2/25/2020,Tuesday,7,,,,,,0,0,0,0,0,0,
MRE,2/25/2020,Tuesday,8,,,,,,0,0,0,0,0,0,
MRE,2/25/2020,Tuesday,9,,,,,,0,0,0,0,0,0,
MRE,2/25/2020,Tuesday,10,,,,,,0,0,0,0,0,0,
MRE,2/25/2020,Tuesday,11,,,,,,0,0,0,0,0,0,
MRE,2/25/2020,Tuesday,12,,,,,,0,0,0,0,0,0,
MRE,2/25/2020,Tuesday,13,,,,,,0,0,0,0,0,0,
MRE,2/25/2020,Tuesday,14,,,,,,0,0,0,0,0,0,
MRE,2/25/2020,Tuesday,15,,,,,,0,0,0,0,0,0,
MRE,2/25/2020,Tuesday,16,,,,,,0,0,0,0,0,0,
MRE,2/25/2020,Tuesday,17,,,,,,0,0,0,0,0,0,
MRE,2/25/2020,Tuesday,18,,,,,,0,0,0,0,0,0,
MRE,2/25/2020,Tuesday,19,,,,,,0,0,0,0,0,0,
MRE,2/25/2020,Tuesday,20,,,,,,0,0,0,0,0,0,
MRE,2/25/2020,Tuesday,21,,,,,,0,0,0,0,0,0,
MRE,2/25/2020,Tuesday,22,,,,,,0,0,0,0,0,0,
MRE,2/25/2020,Tuesday,23,,,,,,0,0,0,0,0,0,
MRE,2/26/2020,Wednesday,0,,,,,,0,0,0,0,0,0,
MRE,2/26/2020,Wednesday,1,,,,,,0,0,0,0,0,0,
MRE,2/26/2020,Wednesday,2,,,,,,0,0,0,0,0,0,
MRE,2/26/2020,Wednesday,3,,,,,,0,0,0,0,0,0,
MRE,2/26/2020,Wednesday,4,,,,,,0,0,0,0,0,0,
MRE,2/26/2020,Wednesday,5,,,,,,0,0,0,0,0,0,
MRE,2/26/2020,Wednesday,6,,,,,,0,0,0,0,0,0,
MRE,2/26/2020,Wednesday,7,,,,,,0,0,0,0,0,0,
MRE,2/26/2020,Wednesday,8,,,,,,0,0,0,0,0,0,
MRE,2/26/2020,Wednesday,9,,,,,,0,0,0,0,0,0,
MRE,2/26/2020,Wednesday,10,,,,,,0,0,0,0,0,0,
MRE,2/26/2020,Wednesday,11,,,,,,0,0,0,0,0,0,
MRE,2/26/2020,Wednesday,12,,,,,,0,0,0,0,0,0,
MRE,2/26/2020,Wednesday,13,,,,,,0,0,0,0,0,0,
MRE,2/26/2020,Wednesday,14,,,,,,0,0,0,0,0,0,
MRE,2/26/2020,Wednesday,15,,,,,,0,0,0,0,0,0,
MRE,2/26/2020,Wednesday,16,,,,,,0,0,0,0,0,0,
MRE,2/26/2020,Wednesday,17,,,,,,0,0,0,0,0,0,
MRE,2/26/2020,Wednesday,18,,,,,,0,0,0,0,0,0,
MRE,2/26/2020,Wednesday,19,,,,,,0,0,0,0,0,0,
MRE,2/26/2020,Wednesday,20,,,,,,0,0,0,0,0,0,
MRE,2/26/2020,Wednesday,21,,,,,,0,0,0,0,0,0,
MRE,2/26/2020,Wednesday,22,,,,,,0,0,0,0,0,0,
MRE,2/26/2020,Wednesday,23,,,,,,0,0,0,0,0,0,
MRE,2/27/2020,Thursday,0,,,,,,0,0,0,0,0,0,
MRE,2/27/2020,Thursday,1,,,,,,0,0,0,0,0,0,
MRE,2/27/2020,Thursday,2,,,,,,0,0,0,0,0,0,
MRE,2/27/2020,Thursday,3,,,,,,0,0,0,0,0,0,
MRE,2/27/2020,Thursday,4,,,,,,0,0,0,0,0,0,
MRE,2/27/2020,Thursday,5,,,,,,0,0,0,0,0,0,
MRE,2/27/2020,Thursday,6,,,,,,0,0,0,0,0,0,
MRE,2/27/2020,Thursday,7,,,,,,0,0,0,0,0,0,
MRE,2/27/2020,Thursday,8,,,,,,0,0,0,0,0,0,
MRE,2/27/2020,Thursday,9,,,,,,0,0,0,0,0,0,
MRE,2/27/2020,Thursday,10,,,,,,0,0,0,0,0,0,
MRE,2/27/2020,Thursday,11,,,,,,0,0,0,0,0,0,
MRE,2/27/2020,Thursday,12,,,,,,0,0,0,0,0,0,
MRE,2/27/2020,Thursday,13,,,,,,0,0,0,0,0,0,
MRE,2/27/2020,Thursday,14,,,,,,0,0,0,0,0,0,
MRE,2/27/2020,Thursday,15,,,,,,0,0,0,0,0,0,
MRE,2/27/2020,Thursday,16,,,,,,0,0,0,0,0,0,
MRE,2/27/2020,Thursday,17,,,,,,0,0,0,0,0,0,
MRE,2/27/2020,Thursday,18,,,,,,0,0,0,0,0,0,
MRE,2/27/2020,Thursday,19,,,,,,0,0,0,0,0,0,
MRE,2/27/2020,Thursday,20,,,,,,0,0,0,0,0,0,
MRE,2/27/2020,Thursday,21,,,,,,0,0,0,0,0,0,
MRE,2/27/2020,Thursday,22,,,,,,0,0,0,0,0,0,
MRE,2/27/2020,Thursday,23,,,,,,0,0,0,0,0,0,
MRE,2/28/2020,Friday,0,,,,,,0,0,0,0,0,0,
MRE,2/28/2020,Friday,1,,,,,,0,0,0,0,0,0,
MRE,2/28/2020,Friday,2,,,,,,0,0,0,0,0,0,
MRE,2/28/2020,Friday,3,,,,,,0,0,0,0,0,0,
MRE,2/28/2020,Friday,4,,,,,,0,0,0,0,0,0,
MRE,2/28/2020,Friday,5,,,,,,0,0,0,0,0,0,
MRE,2/28/2020,Friday,6,,,,,,0,0,0,0,0,0,
MRE,2/28/2020,Friday,7,,,,,,0,0,0,0,0,0,
MRE,2/28/2020,Friday,8,,,,,,0,0,0,0,0,0,
MRE,2/28/2020,Friday,9,,,,,,0,0,0,0,0,0,
MRE,2/28/2020,Friday,10,,,,,,0,0,0,0,0,0,
MRE,2/28/2020,Friday,11,,,,,,0,0,0,0,0,0,
MRE,2/28/2020,Friday,12,,,,,,0,0,0,0,0,0,
MRE,2/28/2020,Friday,13,,,,,,0,0,0,0,0,0,
MRE,2/28/2020,Friday,14,,,,,,0,0,0,0,0,0,
MRE,2/28/2020,Friday,15,,,,,,0,0,0,0,0,0,
MRE,2/28/2020,Friday,16,,,,,,0,0,0,0,0,0,
MRE,2/28/2020,Friday,17,,,,,,0,0,0,0,0,0,
MRE,2/28/2020,Friday,18,,,,,,0,0,0,0,0,0,
MRE,2/28/2020,Friday,19,,,,,,0,0,0,0,0,0,
MRE,2/28/2020,Friday,20,,,,,,0,0,0,0,0,0,
MRE,2/28/2020,Friday,21,,,,,,0,0,0,0,0,0,
MRE,2/28/2020,Friday,22,,,,,,0,0,0,0,0,0,
MRE,2/28/2020,Friday,23,,,,,,0,0,0,0,0,0,
MRE,2/29/2020,Saturday,0,,,,,,0,0,0,0,0,0,
MRE,2/29/2020,Saturday,1,,,,,,0,0,0,0,0,0,
MRE,2/29/2020,Saturday,2,,,,,,0,0,0,0,0,0,
MRE,2/29/2020,Saturday,3,,,,,,0,0,0,0,0,0,
MRE,2/29/2020,Saturday,4,,,,,,0,0,0,0,0,0,
MRE,2/29/2020,Saturday,5,,,,,,0,0,0,0,0,0,
MRE,2/29/2020,Saturday,6,,,,,,0,0,0,0,0,0,
MRE,2/29/2020,Saturday,7,,,,,,0,0,0,0,0,0,
MRE,2/29/2020,Saturday,8,,,,,,0,0,0,0,0,0,
MRE,2/29/2020,Saturday,9,,,,,,0,0,0,0,0,0,
MRE,2/29/2020,Saturday,10,,,,,,0,0,0,0,0,0,
MRE,2/29/2020,Saturday,11,,,,,,0,0,0,0,0,0,
MRE,2/29/2020,Saturday,12,,,,,,0,0,0,0,0,0,
MRE,2/29/2020,Saturday,13,,,,,,0,0,0,0,0,0,
MRE,2/29/2020,Saturday,14,,,,,,0,0,0,0,0,0,
MRE,2/29/2020,Saturday,15,,,,,,0,0,0,0,0,0,
MRE,2/29/2020,Saturday,16,,,,,,0,0,0,0,0,0,
MRE,2/29/2020,Saturday,17,,,,,,0,0,0,0,0,0,
MRE,2/29/2020,Saturday,18,,,,,,0,0,0,0,0,0,
MRE,2/29/2020,Saturday,19,,,,,,0,0,0,0,0,0,
MRE,2/29/2020,Saturday,20,,,,,,0,0,0,0,0,0,
MRE,2/29/2020,Saturday,21,,,,,,0,0,0,0,0,0,
MRE,2/29/2020,Saturday,22,,,,,,0,0,0,0,0,0,
MRE,2/29/2020,Saturday,23,,,,,,0,0,0,0,0,0,
MRE,3/1/2020,Sunday,0,,,,,,0,0,0,0,0,0,
MRE,3/1/2020,Sunday,1,,,,,,0,0,0,0,0,0,
MRE,3/1/2020,Sunday,2,,,,,,0,0,0,0,0,0,
MRE,3/1/2020,Sunday,3,,,,,,0,0,0,0,0,0,
MRE,3/1/2020,Sunday,4,,,,,,0,0,0,0,0,0,
MRE,3/1/2020,Sunday,5,,,,,,0,0,0,0,0,0,
MRE,3/1/2020,Sunday,6,,,,,,0,0,0,0,0,0,
MRE,3/1/2020,Sunday,7,,,,,,0,0,0,0,0,0,
MRE,3/1/2020,Sunday,8,,,,,,0,0,0,0,0,0,
MRE,3/1/2020,Sunday,9,,,,,,0,0,0,0,0,0,
MRE,3/1/2020,Sunday,10,,,,,,0,0,0,0,0,0,
MRE,3/1/2020,Sunday,11,,,,,,0,0,0,0,0,0,
MRE,3/1/2020,Sunday,12,,,,,,0,0,0,0,0,0,
MRE,3/1/2020,Sunday,13,,,,,,0,0,0,0,0,0,
MRE,3/1/2020,Sunday,14,,,,,,0,0,0,0,0,0,
MRE,3/1/2020,Sunday,15,,,,,,0,0,0,0,0,0,
MRE,3/1/2020,Sunday,16,,,,,,0,0,0,0,0,0,
MRE,3/1/2020,Sunday,17,,,,,,0,0,0,0,0,0,
MRE,3/1/2020,Sunday,18,,,,,,0,0,0,0,0,0,
MRE,3/1/2020,Sunday,19,,,,,,0,0,0,0,0,0,
MRE,3/1/2020,Sunday,20,,,,,,0,0,0,0,0,0,
MRE,3/1/2020,Sunday,21,,,,,,0,0,0,0,0,0,
MRE,3/1/2020,Sunday,22,,,,,,0,0,0,0,0,0,
MRE,3/1/2020,Sunday,23,,,,,,0,0,0,0,0,0,
MRE,3/2/2020,Monday,0,,,,,,0,0,0,0,0,0,
MRE,3/2/2020,Monday,1,,,,,,0,0,0,0,0,0,
MRE,3/2/2020,Monday,2,,,,,,0,0,0,0,0,0,
MRE,3/2/2020,Monday,3,,,,,,0,0,0,0,0,0,
MRE,3/2/2020,Monday,4,,,,,,0,0,0,0,0,0,
MRE,3/2/2020,Monday,5,,,,,,0,0,0,0,0,0,
MRE,3/2/2020,Monday,6,,,,,,0,0,0,0,0,0,
MRE,3/2/2020,Monday,7,,,,,,0,0,0,0,0,0,
MRE,3/2/2020,Monday,8,,,,,,0,0,0,0,0,0,
MRE,3/2/2020,Monday,9,,,,,,0,0,0,0,0,0,
MRE,3/2/2020,Monday,10,,,,,,0,0,0,0,0,0,
MRE,3/2/2020,Monday,11,,,,,,0,0,0,0,0,0,
MRE,3/2/2020,Monday,12,,,,,,0,0,0,0,0,0,
MRE,3/2/2020,Monday,13,,,,,,0,0,0,0,0,0,
MRE,3/2/2020,Monday,14,,,,,,0,0,0,0,0,0,
MRE,3/2/2020,Monday,15,,,,,,0,0,0,0,0,0,
MRE,3/2/2020,Monday,16,,,,,,0,0,0,0,0,0,
MRE,3/2/2020,Monday,17,,,,,,0,0,0,0,0,0,
MRE,3/2/2020,Monday,18,,,,,,0,0,0,0,0,0,
MRE,3/2/2020,Monday,19,,,,,,0,0,0,0,0,0,
MRE,3/2/2020,Monday,20,,,,,,0,0,0,0,0,0,
MRE,3/2/2020,Monday,21,,,,,,0,0,0,0,0,0,
MRE,3/2/2020,Monday,22,,,,,,0,0,0,0,0,0,
MRE,3/2/2020,Monday,23,,,,,,0,0,0,0,0,0,
MRE,3/3/2020,Tuesday,0,,,,,,0,0,0,0,0,0,
MRE,3/3/2020,Tuesday,1,,,,,,0,0,0,0,0,0,
MRE,3/3/2020,Tuesday,2,,,,,,0,0,0,0,0,0,
MRE,3/3/2020,Tuesday,3,,,,,,0,0,0,0,0,0,
MRE,3/3/2020,Tuesday,4,,,,,,0,0,0,0,0,0,
MRE,3/3/2020,Tuesday,5,,,,,,0,0,0,0,0,0,
MRE,3/3/2020,Tuesday,6,,,,,,0,0,0,0,0,0,
MRE,3/3/2020,Tuesday,7,,,,,,0,0,0,0,0,0,
MRE,3/3/2020,Tuesday,8,,,,,,0,0,0,0,0,0,
MRE,3/3/2020,Tuesday,9,,,,,,0,0,0,0,0,0,
MRE,3/3/2020,Tuesday,10,,,,,,0,0,0,0,0,0,
MRE,3/3/2020,Tuesday,11,,,,,,0,0,0,0,0,0,
MRE,3/3/2020,Tuesday,12,,,,,,0,0,0,0,0,0,
MRE,3/3/2020,Tuesday,13,,,,,,0,0,0,0,0,0,
MRE,3/3/2020,Tuesday,14,,,,,,0,0,0,0,0,0,
MRE,3/3/2020,Tuesday,15,,,,,,0,0,0,0,0,0,
MRE,3/3/2020,Tuesday,16,,,,,,0,0,0,0,0,0,
MRE,3/3/2020,Tuesday,17,,,,,,0,0,0,0,0,0,
MRE,3/3/2020,Tuesday,18,,,,,,0,0,0,0,0,0,
MRE,3/3/2020,Tuesday,19,,,,,,0,0,0,0,0,0,
MRE,3/3/2020,Tuesday,20,,,,,,0,0,0,0,0,0,
MRE,3/3/2020,Tuesday,21,,,,,,0,0,0,0,0,0,
MRE,3/3/2020,Tuesday,22,,,,,,0,0,0,0,0,0,
MRE,3/3/2020,Tuesday,23,,,,,,0,0,0,0,0,0,
MRE,3/4/2020,Wednesday,0,,,,,,0,0,0,0,0,0,
MRE,3/4/2020,Wednesday,1,,,,,,0,0,0,0,0,0,
MRE,3/4/2020,Wednesday,2,,,,,,0,0,0,0,0,0,
MRE,3/4/2020,Wednesday,3,,,,,,0,0,0,0,0,0,
MRE,3/4/2020,Wednesday,4,,,,,,0,0,0,0,0,0,
MRE,3/4/2020,Wednesday,5,,,,,,0,0,0,0,0,0,
MRE,3/4/2020,Wednesday,6,,,,,,0,0,0,0,0,0,
MRE,3/4/2020,Wednesday,7,,,,,,0,0,0,0,0,0,
MRE,3/4/2020,Wednesday,8,,,,,,0,0,0,0,0,0,
MRE,3/4/2020,Wednesday,9,,,,,,0,0,0,0,0,0,
MRE,3/4/2020,Wednesday,10,,,,,,0,0,0,0,0,0,
MRE,3/4/2020,Wednesday,11,,,,,,0,0,0,0,0,0,
MRE,3/4/2020,Wednesday,12,,,,,,0,0,0,0,0,0,
MRE,3/4/2020,Wednesday,13,,,,,,0,0,0,0,0,0,
MRE,3/4/2020,Wednesday,14,,,,,,0,0,0,0,0,0,
MRE,3/4/2020,Wednesday,15,,,,,,0,0,0,0,0,0,
MRE,3/4/2020,Wednesday,16,,,,,,0,0,0,0,0,0,
MRE,3/4/2020,Wednesday,17,,,,,,0,0,0,0,0,0,
MRE,3/4/2020,Wednesday,18,,,,,,0,0,0,0,0,0,
MRE,3/4/2020,Wednesday,19,,,,,,0,0,0,0,0,0,
MRE,3/4/2020,Wednesday,20,,,,,,0,0,0,0,0,0,
MRE,3/4/2020,Wednesday,21,,,,,,0,0,0,0,0,0,
MRE,3/4/2020,Wednesday,22,,,,,,0,0,0,0,0,0,
MRE,3/4/2020,Wednesday,23,,,,,,0,0,0,0,0,0,
MRE,3/5/2020,Thursday,0,,,,,,0,0,0,0,0,0,
MRE,3/5/2020,Thursday,1,,,,,,0,0,0,0,0,0,
MRE,3/5/2020,Thursday,2,,,,,,0,0,0,0,0,0,
MRE,3/5/2020,Thursday,3,,,,,,0,0,0,0,0,0,
MRE,3/5/2020,Thursday,4,,,,,,0,0,0,0,0,0,
MRE,3/5/2020,Thursday,5,,,,,,0,0,0,0,0,0,
MRE,3/5/2020,Thursday,6,,,,,,0,0,0,0,0,0,
MRE,3/5/2020,Thursday,7,,,,,,0,0,0,0,0,0,
MRE,3/5/2020,Thursday,8,,,,,,0,0,0,0,0,0,
MRE,3/5/2020,Thursday,9,,,,,,0,0,0,0,0,0,
MRE,3/5/2020,Thursday,10,,,,,,0,0,0,0,0,0,
MRE,3/5/2020,Thursday,11,,,,,,0,0,0,0,0,0,
MRE,3/5/2020,Thursday,12,,,,,,0,0,0,0,0,0,
MRE,3/5/2020,Thursday,13,,,,,,0,0,0,0,0,0,
MRE,3/5/2020,Thursday,14,,,,,,0,0,0,0,0,0,
MRE,3/5/2020,Thursday,15,,,,,,0,0,0,0,0,0,
MRE,3/5/2020,Thursday,16,,,,,,0,0,0,0,0,0,
MRE,3/5/2020,Thursday,17,,,,,,0,0,0,0,0,0,
MRE,3/5/2020,Thursday,18,,,,,,0,0,0,0,0,0,
MRE,3/5/2020,Thursday,19,,,,,,0,0,0,0,0,0,
MRE,3/5/2020,Thursday,20,,,,,,0,0,0,0,0,0,
MRE,3/5/2020,Thursday,21,,,,,,0,0,0,0,0,0,
MRE,3/5/2020,Thursday,22,,,,,,0,0,0,0,0,0,
MRE,3/5/2020,Thursday,23,,,,,,0,0,0,0,0,0,
MRE,3/6/2020,Friday,0,,,,,,0,0,0,0,0,0,
MRE,3/6/2020,Friday,1,,,,,,0,0,0,0,0,0,
MRE,3/6/2020,Friday,2,,,,,,0,0,0,0,0,0,
MRE,3/6/2020,Friday,3,,,,,,0,0,0,0,0,0,
MRE,3/6/2020,Friday,4,,,,,,0,0,0,0,0,0,
MRE,3/6/2020,Friday,5,,,,,,0,0,0,0,0,0,
MRE,3/6/2020,Friday,6,,,,,,0,0,0,0,0,0,
MRE,3/6/2020,Friday,7,,,,,,0,0,0,0,0,0,
MRE,3/6/2020,Friday,8,,,,,,0,0,0,0,0,0,
MRE,3/6/2020,Friday,9,,,,,,0,0,0,0,0,0,
MRE,3/6/2020,Friday,10,,,,,,0,0,0,0,0,0,
MRE,3/6/2020,Friday,11,,,,,,0,0,0,0,0,0,
MRE,3/6/2020,Friday,12,,,,,,0,0,0,0,0,0,
MRE,3/6/2020,Friday,13,,,,,,0,0,0,0,0,0,
MRE,3/6/2020,Friday,14,,,,,,0,0,0,0,0,0,
MRE,3/6/2020,Friday,15,,,,,,0,0,0,0,0,0,
MRE,3/6/2020,Friday,16,,,,,,0,0,0,0,0,0,
MRE,3/6/2020,Friday,17,,,,,,0,0,0,0,0,0,
MRE,3/6/2020,Friday,18,,,,,,0,0,0,0,0,0,
MRE,3/6/2020,Friday,19,,,,,,0,0,0,0,0,0,
MRE,3/6/2020,Friday,20,,,,,,0,0,0,0,0,0,
MRE,3/6/2020,Friday,21,,,,,,0,0,0,0,0,0,
MRE,3/6/2020,Friday,22,,,,,,0,0,0,0,0,0,
MRE,3/6/2020,Friday,23,,,,,,0,0,0,0,0,0,
MRE,3/7/2020,Saturday,0,,,,,,0,0,0,0,0,0,
MRE,3/7/2020,Saturday,1,,,,,,0,0,0,0,0,0,
MRE,3/7/2020,Saturday,2,,,,,,0,0,0,0,0,0,
MRE,3/7/2020,Saturday,3,,,,,,0,0,0,0,0,0,
MRE,3/7/2020,Saturday,4,,,,,,0,0,0,0,0,0,
MRE,3/7/2020,Saturday,5,,,,,,0,0,0,0,0,0,
MRE,3/7/2020,Saturday,6,,,,,,0,0,0,0,0,0,
MRE,3/7/2020,Saturday,7,,,,,,0,0,0,0,0,0,
MRE,3/7/2020,Saturday,8,,,,,,0,0,0,0,0,0,
MRE,3/7/2020,Saturday,9,,,,,,0,0,0,0,0,0,
MRE,3/7/2020,Saturday,10,,,,,,0,0,0,0,0,0,
MRE,3/7/2020,Saturday,11,,,,,,0,0,0,0,0,0,
MRE,3/7/2020,Saturday,12,,,,,,0,0,0,0,0,0,
MRE,3/7/2020,Saturday,13,,,,,,0,0,0,0,0,0,
MRE,3/7/2020,Saturday,14,,,,,,0,0,0,0,0,0,
MRE,3/7/2020,Saturday,15,,,,,,0,0,0,0,0,0,
MRE,3/7/2020,Saturday,16,,,,,,0,0,0,0,0,0,
MRE,3/7/2020,Saturday,17,,,,,,0,0,0,0,0,0,
MRE,3/7/2020,Saturday,18,,,,,,0,0,0,0,0,0,
MRE,3/7/2020,Saturday,19,,,,,,0,0,0,0,0,0,
MRE,3/7/2020,Saturday,20,,,,,,0,0,0,0,0,0,
MRE,3/7/2020,Saturday,21,,,,,,0,0,0,0,0,0,
MRE,3/7/2020,Saturday,22,,,,,,0,0,0,0,0,0,
MRE,3/7/2020,Saturday,23,,,,,,0,0,0,0,0,0,
MRE,3/8/2020,Sunday,0,,,,,,0,0,0,0,0,0,
MRE,3/8/2020,Sunday,1,,,,,,0,0,0,0,0,0,
MRE,3/8/2020,Sunday,2,,,,,,0,0,0,0,0,0,
MRE,3/8/2020,Sunday,3,,,,,,0,0,0,0,0,0,
MRE,3/8/2020,Sunday,4,,,,,,0,0,0,0,0,0,
MRE,3/8/2020,Sunday,5,,,,,,0,0,0,0,0,0,
MRE,3/8/2020,Sunday,6,,,,,,0,0,0,0,0,0,
MRE,3/8/2020,Sunday,7,,,,,,0,0,0,0,0,0,
MRE,3/8/2020,Sunday,8,,,,,,0,0,0,0,0,0,
MRE,3/8/2020,Sunday,9,,,,,,0,0,0,0,0,0,
MRE,3/8/2020,Sunday,10,,,,,,0,0,0,0,0,0,
MRE,3/8/2020,Sunday,11,,,,,,0,0,0,0,0,0,
MRE,3/8/2020,Sunday,12,,,,,,0,0,0,0,0,0,
MRE,3/8/2020,Sunday,13,,,,,,0,0,0,0,0,0,
MRE,3/8/2020,Sunday,14,,,,,,0,0,0,0,0,0,
MRE,3/8/2020,Sunday,15,,,,,,0,0,0,0,0,0,
MRE,3/8/2020,Sunday,16,,,,,,0,0,0,0,0,0,
MRE,3/8/2020,Sunday,17,,,,,,0,0,0,0,0,0,
MRE,3/8/2020,Sunday,18,,,,,,0,0,0,0,0,0,
MRE,3/8/2020,Sunday,19,,,,,,0,0,0,0,0,0,
MRE,3/8/2020,Sunday,20,,,,,,0,0,0,0,0,0,
MRE,3/8/2020,Sunday,21,,,,,,0,0,0,0,0,0,
MRE,3/8/2020,Sunday,22,,,,,,0,0,0,0,0,0,
MRE,3/8/2020,Sunday,23,,,,,,0,0,0,0,0,0,
MRE,3/9/2020,Monday,0,,,,,,0,0,0,0,0,0,
MRE,3/9/2020,Monday,1,,,,,,0,0,0,0,0,0,
MRE,3/9/2020,Monday,2,,,,,,0,0,0,0,0,0,
MRE,3/9/2020,Monday,3,,,,,,0,0,0,0,0,0,
MRE,3/9/2020,Monday,4,,,,,,0,0,0,0,0,0,
MRE,3/9/2020,Monday,5,,,,,,0,0,0,0,0,0,
MRE,3/9/2020,Monday,6,,,,,,0,0,0,0,0,0,
MRE,3/9/2020,Monday,7,,,,,,0,0,0,0,0,0,
MRE,3/9/2020,Monday,8,,,,,,0,0,0,0,0,0,
MRE,3/9/2020,Monday,9,,,,,,0,0,0,0,0,0,
MRE,3/9/2020,Monday,10,,,,,,0,0,0,0,0,0,
MRE,3/9/2020,Monday,11,,,,,,0,0,0,0,0,0,
MRE,3/9/2020,Monday,12,,,,,,0,0,0,0,0,0,
MRE,3/9/2020,Monday,13,,,,,,0,0,0,0,0,0,
MRE,3/9/2020,Monday,14,,,,,,0,0,0,0,0,0,
MRE,3/9/2020,Monday,15,,,,,,0,0,0,0,0,0,
MRE,3/9/2020,Monday,16,,,,,,0,0,0,0,0,0,
MRE,3/9/2020,Monday,17,,,,,,0,0,0,0,0,0,
MRE,3/9/2020,Monday,18,,,,,,0,0,0,0,0,0,
MRE,3/9/2020,Monday,19,,,,,,0,0,0,0,0,0,
MRE,3/9/2020,Monday,20,,,,,,0,0,0,0,0,0,
MRE,3/9/2020,Monday,21,,,,,,0,0,0,0,0,0,
MRE,3/9/2020,Monday,22,,,,,,0,0,0,0,0,0,
MRE,3/9/2020,Monday,23,,,,,,0,0,0,0,0,0,
MRE,3/10/2020,Tuesday,0,,,,,,0,0,0,0,0,0,
MRE,3/10/2020,Tuesday,1,,,,,,0,0,0,0,0,0,
MRE,3/10/2020,Tuesday,2,,,,,,0,0,0,0,0,0,
MRE,3/10/2020,Tuesday,3,,,,,,0,0,0,0,0,0,
MRE,3/10/2020,Tuesday,4,,,,,,0,0,0,0,0,0,
MRE,3/10/2020,Tuesday,5,,,,,,0,0,0,0,0,0,
MRE,3/10/2020,Tuesday,6,,,,,,0,0,0,0,0,0,
MRE,3/10/2020,Tuesday,7,,,,,,0,0,0,0,0,0,
MRE,3/10/2020,Tuesday,8,,,,,,0,0,0,0,0,0,
MRE,3/10/2020,Tuesday,9,,,,,,0,0,0,0,0,0,
MRE,3/10/2020,Tuesday,10,,,,,,0,0,0,0,0,0,
MRE,3/10/2020,Tuesday,11,,,,,,0,0,0,0,0,0,
MRE,3/10/2020,Tuesday,12,,,,,,0,0,0,0,0,0,
MRE,3/10/2020,Tuesday,13,,,,,,0,0,0,0,0,0,
MRE,3/10/2020,Tuesday,14,,,,,,0,0,0,0,0,0,
MRE,3/10/2020,Tuesday,15,,,,,,0,0,0,0,0,0,
MRE,3/10/2020,Tuesday,16,,,,,,0,0,0,0,0,0,
MRE,3/10/2020,Tuesday,17,,,,,,0,0,0,0,0,0,
MRE,3/10/2020,Tuesday,18,,,,,,0,0,0,0,0,0,
MRE,3/10/2020,Tuesday,19,,,,,,0,0,0,0,0,0,
MRE,3/10/2020,Tuesday,20,,,,,,0,0,0,0,0,0,
MRE,3/10/2020,Tuesday,21,,,,,,0,0,0,0,0,0,
MRE,3/10/2020,Tuesday,22,,,,,,0,0,0,0,0,0,
MRE,3/10/2020,Tuesday,23,,,,,,0,0,0,0,0,0,
MRE,3/11/2020,Wednesday,0,,,,,,0,0,0,0,0,0,
MRE,3/11/2020,Wednesday,1,,,,,,0,0,0,0,0,0,
MRE,3/11/2020,Wednesday,2,,,,,,0,0,0,0,0,0,
MRE,3/11/2020,Wednesday,3,,,,,,0,0,0,0,0,0,
MRE,3/11/2020,Wednesday,4,,,,,,0,0,0,0,0,0,
MRE,3/11/2020,Wednesday,5,,,,,,0,0,0,0,0,0,
