network,npz_id,Site_ID,Dep,Week,Date_week,Date_noyr,n_days,Total_ves_dep,Total_inside_ves_dep,Total_inside_ves_small
Northwest,DMP,DNE,DAMPIER_202009_DNE,39,2025-09-30,2000-09-26,1,2,0,0
Northwest,DMP,DNE,DAMPIER_202009_DNE,39,2025-09-30,2000-09-27,1,4,0,0
Northwest,DMP,DNE,DAMPIER_202009_DNE,40,2025-10-07,2000-09-28,1,3,0,0
Northwest,DMP,DNE,DAMPIER_202009_DNE,40,2025-10-07,2000-09-29,1,6,0,1
Northwest,DMP,DNE,DAMPIER_202009_DNE,40,2025-10-07,2000-09-30,1,6,0,0
Northwest,DMP,DNE,DAMPIER_202009_DNE,40,2025-10-07,2000-10-01,1,13,0,2
Northwest,DMP,DNE,DAMPIER_202009_DNE,40,2025-10-07,2000-10-02,1,1,0,0
Northwest,DMP,DNE,DAMPIER_202009_DNE,40,2025-10-07,2000-10-03,1,4,0,0
Northwest,DMP,DNE,DAMPIER_202009_DNE,40,2025-10-07,2000-10-04,1,2,1,1
Northwest,DMP,DNE,DAMPIER_202009_DNE,41,2025-10-14,2000-10-05,1,0,0,0
Northwest,DMP,DNE,DAMPIER_202009_DNE,41,2025-10-14,2000-10-06,1,0,0,0
Northwest,DMP,DNE,DAMPIER_202009_DNE,41,2025-10-14,2000-10-07,1,2,0,0
Northwest,DMP,DNE,DAMPIER_202009_DNE,41,2025-10-14,2000-10-08,1,3,0,0
Northwest,DMP,DNE,DAMPIER_202009_DNE,41,2025-10-14,2000-10-09,1,6,1,2
Northwest,DMP,DNE,DAMPIER_202009_DNE,41,2025-10-14,2000-10-10,1,2,0,2
Northwest,DMP,DNE,DAMPIER_202009_DNE,41,2025-10-14,2000-10-11,1,0,0,0
Northwest,DMP,DNE,DAMPIER_202009_DNE,42,2025-10-21,2000-10-12,1,3,0,1
Northwest,DMP,DNE,DAMPIER_202009_DNE,42,2025-10-21,2000-10-13,1,1,0,0
Northwest,DMP,DNE,DAMPIER_202009_DNE,42,2025-10-21,2000-10-14,1,3,0,1
Northwest,DMP,DNE,DAMPIER_202009_DNE,42,2025-10-21,2000-10-15,1,0,0,0
Northwest,DMP,DNE,DAMPIER_202009_DNE,42,2025-10-21,2000-10-16,1,1,0,0
Northwest,DMP,DNE,DAMPIER_202009_DNE,42,2025-10-21,2000-10-17,1,1,0,0
Northwest,DMP,DNE,DAMPIER_202009_DNE,42,2025-10-21,2000-10-18,1,1,0,0
Northwest,DMP,DNE,DAMPIER_202009_DNE,43,2025-10-28,2000-10-19,1,1,0,1
Northwest,DMP,DNE,DAMPIER_202009_DNE,43,2025-10-28,2000-10-20,1,3,0,1
Northwest,DMP,DNE,DAMPIER_202009_DNE,43,2025-10-28,2000-10-21,1,0,0,0
Northwest,DMP,DNE,DAMPIER_202009_DNE,43,2025-10-28,2000-10-22,1,1,0,0
Northwest,DMP,DNE,DAMPIER_202009_DNE,43,2025-10-28,2000-10-23,1,2,0,0
Northwest,DMP,DNE,DAMPIER_202009_DNE,43,2025-10-28,2000-10-24,1,1,0,0
Northwest,DMP,DNE,DAMPIER_202009_DNE,43,2025-10-28,2000-10-25,1,1,0,0
Northwest,DMP,DNE,DAMPIER_202009_DNE,44,2025-11-04,2000-10-26,1,1,0,1
Northwest,DMP,DNE,DAMPIER_202009_DNE,44,2025-11-04,2000-10-27,1,3,0,0
Northwest,DMP,DNE,DAMPIER_202009_DNE,44,2025-11-04,2000-10-28,1,2,0,0
Northwest,DMP,DNE,DAMPIER_202009_DNE,44,2025-11-04,2000-10-29,1,5,0,0
Northwest,DMP,DNE,DAMPIER_202009_DNE,44,2025-11-04,2000-10-30,1,7,0,4
Northwest,DMP,DNE,DAMPIER_202009_DNE,44,2025-11-04,2000-10-31,1,1,0,1
Northwest,DMP,DNE,DAMPIER_202009_DNE,44,2025-11-04,2000-11-01,1,1,0,0
Northwest,DMP,DNE,DAMPIER_202009_DNE,45,2025-11-11,2000-11-02,1,2,0,0
Northwest,DMP,DNE,DAMPIER_202009_DNE,45,2025-11-11,2000-11-03,1,0,0,0
Northwest,DMP,DNE,DAMPIER_202009_DNE,45,2025-11-11,2000-11-04,1,1,0,0
Northwest,DMP,DSW,DAMPIER_202009_DSW,37,2025-09-16,2000-09-08,1,0,0,0
Northwest,DMP,DSW,DAMPIER_202009_DSW,37,2025-09-16,2000-09-09,1,3,1,1
Northwest,DMP,DSW,DAMPIER_202009_DSW,37,2025-09-16,2000-09-10,1,7,0,0
Northwest,DMP,DSW,DAMPIER_202009_DSW,37,2025-09-16,2000-09-11,1,7,0,0
Northwest,DMP,DSW,DAMPIER_202009_DSW,37,2025-09-16,2000-09-12,1,8,0,1
Northwest,DMP,DSW,DAMPIER_202009_DSW,37,2025-09-16,2000-09-13,1,3,0,0
Northwest,DMP,DSW,DAMPIER_202009_DSW,38,2025-09-23,2000-09-14,1,3,0,0
Northwest,DMP,DSW,DAMPIER_202009_DSW,38,2025-09-23,2000-09-15,1,5,0,0
Northwest,DMP,DSW,DAMPIER_202009_DSW,38,2025-09-23,2000-09-16,1,10,0,0
Northwest,DMP,DSW,DAMPIER_202009_DSW,38,2025-09-23,2000-09-17,1,3,0,0
Northwest,DMP,DSW,DAMPIER_202009_DSW,38,2025-09-23,2000-09-18,1,2,0,0
Northwest,DMP,DSW,DAMPIER_202009_DSW,38,2025-09-23,2000-09-19,1,0,0,0
Northwest,DMP,DSW,DAMPIER_202009_DSW,38,2025-09-23,2000-09-20,1,3,0,1
Northwest,DMP,DSW,DAMPIER_202009_DSW,39,2025-09-30,2000-09-21,1,3,0,0
Northwest,DMP,DSW,DAMPIER_202009_DSW,39,2025-09-30,2000-09-22,1,4,0,0
Northwest,DMP,DSW,DAMPIER_202009_DSW,39,2025-09-30,2000-09-23,1,6,0,1
Northwest,DMP,DSW,DAMPIER_202009_DSW,39,2025-09-30,2000-09-24,1,8,0,0
Northwest,DMP,DSW,DAMPIER_202009_DSW,39,2025-09-30,2000-09-25,1,9,0,0
Northwest,DMP,DSW,DAMPIER_202009_DSW,39,2025-09-30,2000-09-26,1,3,0,0
Northwest,DMP,DSW,DAMPIER_202009_DSW,39,2025-09-30,2000-09-27,1,7,0,1
Northwest,DMP,DSW,DAMPIER_202009_DSW,40,2025-10-07,2000-09-28,1,3,0,0
Northwest,DMP,DSW,DAMPIER_202009_DSW,40,2025-10-07,2000-09-29,1,10,0,0
Northwest,DMP,DSW,DAMPIER_202009_DSW,40,2025-10-07,2000-09-30,1,5,0,0
Northwest,DMP,DSW,DAMPIER_202009_DSW,40,2025-10-07,2000-10-01,1,11,1,1
Northwest,DMP,DSW,DAMPIER_202009_DSW,40,2025-10-07,2000-10-02,1,2,0,0
Northwest,DMP,DSW,DAMPIER_202009_DSW,40,2025-10-07,2000-10-03,1,2,0,0
Northwest,DMP,DSW,DAMPIER_202009_DSW,40,2025-10-07,2000-10-04,1,2,0,0
Northwest,DMP,DSW,DAMPIER_202009_DSW,41,2025-10-14,2000-10-05,1,0,0,0
Northwest,DMP,DSW,DAMPIER_202009_DSW,41,2025-10-14,2000-10-06,1,2,0,0
Northwest,DMP,DSW,DAMPIER_202009_DSW,41,2025-10-14,2000-10-07,1,5,0,0
Northwest,DMP,DSW,DAMPIER_202009_DSW,41,2025-10-14,2000-10-08,1,5,0,0
Northwest,DMP,DSW,DAMPIER_202009_DSW,41,2025-10-14,2000-10-09,1,10,0,1
Northwest,DMP,DSW,DAMPIER_202009_DSW,41,2025-10-14,2000-10-10,1,5,0,0
Northwest,DMP,DSW,DAMPIER_202009_DSW,41,2025-10-14,2000-10-11,1,3,0,0
Northwest,DMP,DSW,DAMPIER_202009_DSW,42,2025-10-21,2000-10-12,1,8,0,1
Northwest,DMP,DSW,DAMPIER_202009_DSW,42,2025-10-21,2000-10-13,1,2,0,1
Northwest,DMP,DSW,DAMPIER_202009_DSW,42,2025-10-21,2000-10-14,1,6,0,0
Northwest,DMP,DSW,DAMPIER_202009_DSW,42,2025-10-21,2000-10-15,1,7,0,0
Northwest,DMP,DSW,DAMPIER_202009_DSW,42,2025-10-21,2000-10-16,1,3,0,0
Northwest,DMP,DSW,DAMPIER_202009_DSW,42,2025-10-21,2000-10-17,1,1,0,0
Northwest,DMP,DSW,DAMPIER_202009_DSW,42,2025-10-21,2000-10-18,1,1,0,0
Northwest,DMP,DSW,DAMPIER_202009_DSW,43,2025-10-28,2000-10-19,1,3,1,1
Northwest,DMP,DSW,DAMPIER_202009_DSW,43,2025-10-28,2000-10-20,1,4,0,1
Northwest,DMP,DSW,DAMPIER_202009_DSW,43,2025-10-28,2000-10-21,1,2,0,0
